Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Scrypt,2,2147483647.0,2147483647.0
PoS,2,20000000.0,20000000.0
Scrypt,2,6570807.657000001,20000000.0
ScryptOG,2,84000000.0,84000000.0
X11,2,13654082.5,25000000.0
X11,0,134554941.2,75000000.0
SHA-256,0,1195525.0,222725000.0
SHA-256,0,16662820.0,525000000.0
NIST5,0,83450403.0,90000000.0
X11,0,24387724.5,139000000.0
Scrypt,2,616448.0,616448.0
POS 3.0,2,38589808.67,33500000.0
Scrypt,0,813092338.6,2000000000.0
Scrypt,0,4526324.0,44333333.0
Scrypt,0,100000000.0,100000000.0
X13,2,5000000.0,200000000.0
X11,2,1377917.0,25000000.0
X11,2,657000000.0,657000000.0
Equihash,2,115898131.0,200000000.0
X11,0,15563873.0,50000000.0
Scrypt,0,43165500.0,90000000.0
CryptoNight,2,7822432.723999999,10000000.0
SHA-256,0,595429.0,21000000.0
SHA-256,2,6243840.0,9736000.0
X11,0,657636.3455,3000000.0
Scrypt,0,2581970.0,21000000.0
Multiple,2,1000000000.0,1200000000.0
Scrypt,0,1939889.0,0.0
Scrypt,2,116845228.0,200000000.0
Scrypt,2,169598616.0,0.0
SHA-256,2,9106714.0,10638298.0
Scrypt,2,665200057.0,3100000000.0
Scrypt,2,11119200.0,30000000.0
SHA-256D,0,19577787259.0,20000000000.0
PoS,2,74033806.79,74000000.0
Scrypt,0,33522957.0,0.0
X11,0,264678458.3,1500000000.0
Lyra2Z,2,7568281.25,21400000.0
PoS,2,148716816.0,39999898.0
X13,2,2500124.0,2500124.0
X14,0,100000000.0,100000000.0
PoS,2,17818682.17,301000000.0
SHA-256D,0,1082162636.0,7506000000.0
Ethash,2,26205539.0,26205539.0
Equihash,2,5613550.0,21000000.0
DPoS,2,108202084.0,125000000.0
X11,0,18342813.0,30000000.0
Scrypt,2,196297971.0,10000000000.0
X11,2,824000000.0,500000000.0
X13,0,92192822723.0,850000000.0
X11,0,3853326.777,3853326.777
PoS,2,50000000.0,50000000.0
Scrypt,0,17089600.0,38540000.0
Scrypt,0,2449577.415,42000000.0
X11,2,61364813.0,228000000.0
PoS,2,20000000.0,20000000.0
X11,0,6069482.0770000005,60000000.0
SHA-256,0,12416554.0,20000000.0
Scrypt,0,20244023.64,33000000.0
X11,2,75590369.0,76500000.0
Scrypt,0,11080722.38,28000000.0
Scrypt,0,10914418.0,650659833.0
X11,0,814671.0,5000000.0
CryptoNight,2,978145.0,21000000.0
Scrypt,0,8377873.0,144000000.0
Scrypt,2,33813143822.0,32514916898.0
Scrypt,0,3472983.0,13000000.0
Scrypt,0,3315789.0,3315789.0
Quark,2,10517772.74,15000000.0
QuBit,0,30227750.0,78835200.0
Scrypt,2,894026.0,2714286.0
CryptoNight,2,9357088.0,25000000.0
Lyra2RE,2,1876146.4440000001,9999999.0
Scrypt,0,23965372.0,500000000.0
SHA-256,0,2526078.475,21000000.0
X11,0,5659096.957,9354000.0
Scrypt,0,11821728.0,20000000.0
X11,2,536982074.0,100000000000.0
Scrypt,0,308179.0,21933333.0
CryptoNight-V7,2,10969318.52,185000000.0
Scrypt,2,2922613.9639999997,55000000.0
